hnear_primschool,hnear_secschool,hnear_road,hnear_mkt,hwhoperm,hallocateoften,hnewclear_a,hcleardriver1,hcleardriver2,hrank_health,hrank_farmland,hrank_edu,hrank_job,watsource,watsource_prim,watsource_hhnum,watsource_safe,watsource_whysafe,watsource_whynosafe,borehole_func,borehole_nonfunc,borehole_mgmt,borehole_chall_yn,borehole_chall,borehole_seaschng,borehole_yrchng,health_dist,health_trans,health_qual,health_out,health_outfreq,health_outtype,health_chw,health_chwtype,health_chwfreq,health_chwsvc,fhhinc_timber,fhhinc_nontimber,fincomeprod_1,fincomeprod_2,forest_noaccess,noaccwhy,noaccimpact,forstrict_who,forguard,ccrb_yn,ccrb_name,vag_yn,vag_name,vag_meet,vag_whoattnd,vag_women,vag_womrestrict,vag_youth,govern_foruse,gov_change,gov_changewho,fparticipateyn,ftalk_who,comsvc,comsvc_watsan_yr,comsvc_watsan_imp,comsvc_edu_yr,comsvc_edu_imp,comsvc_health_yr,comsvc_health_imp,comsvc_mgmt,hunt_unauth,wood_unauth,fpolicy_action,fpolicy_effective,fclear_yn,fclear_punishyn,fclear_punish,fclear_rulebreak,fclear_rulefollow,fclear_who,fclear_whomost,fhuntfire_yn,fhuntfire_punishyn,fhuntfire_punish,fhuntfire_rulebreak,fhuntfire_rulefollow,fhuntfire_who,fhuntfire_whomost,ftimber_yn,ftimber_punishyn,ftimber_punish,ftimber_rulebreak,ftimber_rulefollow,ftimber_who,ftimber_whomost,ffire_yn,ffire_punishyn,ffire_punish,ffire_rulebreak,ffire_rulefollow,ffire_who,ffire_whomost,hproblem_job,hfsupport,hfsupport_who,hfsupport_type,hfrstserv_ben_1,hfrstserv_ben_2,hfrstserv_ben_3,hfrstserv_ben_4,hfrstserv_ben_5,hfrstserv_ben_6,htourism_pay,htourism_whoreceive,htourism_amt,hmine_co,hmine_pay,hmine_whoreceive,hmine_amt,watt_tour,watt_lodge,crbatt_employ,conserve_neg,hunt_prestige,parkatt_waste,parkatt_help,parkatt_employ,parkatt_meat,parkatt_adverse,parkatt_outside,parkatt_harrass
2,4.0,5.0,4.0,1,5,0.0,,,5,5,5,5,2,,50,1.0,1,,2.0,0,1,1.0,2,0.0,3.0,4,1,2,1,2.0,1 2,1.0,2,2.0,1 6,4.0,4,3,7.0,1.0,1 3,6 7,10,1.0,1.0,3.0,1.0,18.0,2.0,4,0.0,97,0.0,2.0,0.0,,0,,0,,,,,,,0,4.0,3.0,1,4.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,8,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0
5,7.0,6.0,5.0,3,3,3.0,1.0,0.0,5,1,5,1,2 8,2.0,10,2.0,3,3,1.0,0,1,1.0,2,0.0,3.0,4,1,1,1,2.0,1 2 10,0.0,,,,4.0,4,11,0.0,1.0,2,6,10,1.0,0.0,,0.0,,,,,,,2.0,0.0,,0,,,,,,,,,,5.0,4.0,0,,0.0,,,,,,,1.0,1.0,2 9 10,0.0,1.0,1 2,2.0,1.0,1.0,11,0.0,1.0,2,,0.0,,,,,,,6,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,4.0,,4.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0
2,3.0,8.0,3.0,1,3,5.0,4.0,1.0,5,5,5,2,2,,60,1.0,97,,6.0,0,4,1.0,2,0.0,3.0,3,1,2,0,,,0.0,,,,4.0,5,11,6.0,1.0,6,5,8 9,1.0,1.0,,0.0,,,,,0,,2.0,0.0,,0,,0,,,,,,,0,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,2,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,4.0,4.0,2.0,4.0,4.0,1.0,5.0,4.0,2.0,1.0,2.0
1,8.0,10.0,8.0,2,5,0.0,,,5,5,5,5,4,,69,3.0,,1,,0,,,,,,8,97,1,0,,,0.0,,,,5.0,5,20,0.0,0.0,,,,0.0,1.0,2.0,1.0,6.0,5.0,5,1.0,2,1.0,8.0,0.0,,0,,0,,,,,,,0,5.0,5.0,0,,0.0,,,,,,,1.0,1.0,9,0.0,1.0,3,,1.0,1.0,9,0.0,1.0,3,,0.0,,,,,,,8,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,3.0,5.0,3.0,1.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0
3,5.0,6.0,3.0,1,5,6.0,2.0,0.0,4,3,3,5,2 4,4.0,16,3.0,,1 3,,0,,,,,,3,1,3,1,4.0,2 3,1.0,1,4.0,1 2,1.0,4,22,3.0,1.0,2,5,10,0.0,0.0,,0.0,,,,,,,1.0,0.0,,1,3 4 8 97,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,5,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,5.0,5.0,,2.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0
2,2.0,8.0,2.0,1,5,0.0,,,5,5,5,3,2 4,4.0,25,3.0,,1 2 3,,1,4,1.0,2 3 4,,,2,1,4,0,,,1.0,1,4.0,3,4.0,4,21,2.0,0.0,,,,0.0,0.0,,0.0,,,,,,,6.0,0.0,,0,,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5,6.0,10.0,6.0,2,4,0.0,,,5,5,5,5,8,,12,3.0,,1,,0,,,,,,5,2,2,0,,,0.0,,,,5.0,5,20,0.0,0.0,,,,0.0,0.0,,0.0,,,,,,,1.0,0.0,,0,,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,4.0,,3.0,1.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0
2,5.0,10.0,5.0,1,5,0.0,,,5,5,5,5,2,,65,1.0,1,,1.0,0,1,1.0,1 2,0.0,3.0,5,2,1,0,,,0.0,,,,5.0,4,7,22.0,0.0,,,,0.0,0.0,,0.0,,,,,,,1.0,0.0,,0,,,,,,,,,,5.0,5.0,0,,1.0,1.0,15,0.0,1.0,1 3,3.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,8,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,4.0,,4.0,1.0,4.0,1.0,3.0,4.0,4.0,2.0,4.0
5,5.0,8.0,5.0,0,5,40.0,97.0,0.0,5,5,5,1,4 8,8.0,100,3.0,,3,,0,,,,,,5,1,1,0,,,0.0,,,,4.0,4,6,20.0,0.0,,,,1.0,0.0,,0.0,,,,,,,7.0,0.0,,1,4,,,,,,,,,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,4.0,,4.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0
2,5.0,10.0,5.0,1,4,5.0,1.0,2.0,5,3,5,5,4,,12,3.0,,1,,0,,,,,,5,2,1,1,4.0,1 2 3,0.0,,,,4.0,4,7,2.0,0.0,,,,0.0,1.0,2.0,0.0,,,,,0,,8.0,0.0,,0,,0,,,,,,,0,5.0,5.0,0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,10,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4.0,4.0,3.0,3.0,1.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0
