hnear_primschool,hnear_secschool,hnear_road,hnear_mkt,hwhoperm,hallocateoften,hnewclear_a,hcleardriver1,hcleardriver2,hrank_health,hrank_farmland,hrank_edu,hrank_job,watsource,watsource_prim,watsource_hhnum,watsource_safe,watsource_whysafe,watsource_whynosafe,borehole_func,borehole_nonfunc,borehole_mgmt,borehole_chall_yn,borehole_chall,borehole_seaschng,borehole_yrchng,health_dist,health_trans,health_qual,health_out,health_outfreq,health_outtype,health_chw,health_chwtype,health_chwfreq,health_chwsvc,fhhinc_timber,fhhinc_nontimber,fincomeprod_1,fincomeprod_2,forest_noaccess,noaccwhy,noaccimpact,forstrict_who,forguard,ccrb_yn,ccrb_name,vag_yn,vag_name,vag_meet,vag_whoattnd,vag_women,vag_womrestrict,vag_youth,govern_foruse,gov_change,gov_changewho,fparticipateyn,ftalk_who,comsvc,comsvc_watsan_yr,comsvc_watsan_imp,comsvc_edu_yr,comsvc_edu_imp,comsvc_health_yr,comsvc_health_imp,comsvc_mgmt,hunt_unauth,wood_unauth,fpolicy_action,fpolicy_effective,fclear_yn,fclear_punishyn,fclear_punish,fclear_rulebreak,fclear_rulefollow,fclear_who,fclear_whomost,fhuntfire_yn,fhuntfire_punishyn,fhuntfire_punish,fhuntfire_rulebreak,fhuntfire_rulefollow,fhuntfire_who,fhuntfire_whomost,ftimber_yn,ftimber_punishyn,ftimber_punish,ftimber_rulebreak,ftimber_rulefollow,ftimber_who,ftimber_whomost,ffire_yn,ffire_punishyn,ffire_punish,ffire_rulebreak,ffire_rulefollow,ffire_who,ffire_whomost,hproblem_job,hfsupport,hfsupport_who,hfsupport_type,hfrstserv_ben_1,hfrstserv_ben_2,hfrstserv_ben_3,hfrstserv_ben_4,hfrstserv_ben_5,hfrstserv_ben_6,htourism_pay,htourism_whoreceive,htourism_amt,hmine_co,hmine_pay,hmine_whoreceive,hmine_amt,watt_tour,watt_lodge,crbatt_employ,conserve_neg,hunt_prestige,parkatt_waste,parkatt_help,parkatt_employ,parkatt_meat,parkatt_adverse,parkatt_outside,parkatt_harrass,hvage,hvsize,hvsize_pop,hvsize_chng,hvsize_where,hvsize_tribe,hnear_primschool,hnear_secschool,hnear_road,hnear_mkt,hmigrate_farm,health_dist,fhhconsume,vag_yn,vag_youth,comsvc_watsan_yr,comsvc_edu_yr,comsvc_health_yr,
2,4,5,4,1,5,0,,,5,5,5,5,2,,50,1,1,,2,0,1,1,2,0,3,4,1,2,1,2,1 2,1,2,2,1 6,4,4,3,7,1,1 3,6 7,10,1,1,3,1,18,2,4,0,97,0,2,0,,0,,0,,,,,,,0,4,3,1,4,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,8,0,,,0,0,0,0,0,0,,,,,,,,4,4,4,2,2,2,2,4,3,2,1,2,1,50,8,1,4,1 5,2,4,5,4,5,4,5,1,0,,,,
5,7,6,5,3,3,3,1,0,5,1,5,1,2 8,2,10,2,3,3,1,0,1,1,2,0,3,4,1,1,1,2,1 2 10,0,,,,4,4,11,0,1,2,6,10,1,0,,0,,,,,,,2,0,,0,,,,,,,,,,5,4,0,,0,,,,,,,1,1,2 9 10,0,1,1 2,2,1,1,11,0,1,2,,0,,,,,,,6,0,,,0,0,0,0,0,0,,,,,,,,3,4,,4,3,3,2,2,4,4,2,3,2,18,5,1,4 5 13,1 5 6,5,7,6,5,5,4,3,0,,,,,
2,3,8,3,1,3,5,4,1,5,5,5,2,2,,60,1,97,,6,0,4,1,2,0,3,3,1,2,0,,,0,,,,4,5,11,6,1,6,5,8 9,1,1,,0,,,,,0,,2,0,,0,,0,,,,,,,0,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,2,0,,,0,0,0,0,0,0,,,,,,,,4,4,4,2,4,4,1,5,4,2,1,2,2,18,9,3,,,2,3,8,3,5,3,1,0,,,,,
1,8,10,8,2,5,0,,,5,5,5,5,4,,69,3,,1,,0,,,,,,8,97,1,0,,,0,,,,5,5,20,0,0,,,,0,1,2,1,6,5,5,1,2,1,8,0,,0,,0,,,,,,,0,5,5,0,,0,,,,,,,1,1,9,0,1,3,,1,1,9,0,1,3,,0,,,,,,,8,0,,,0,0,0,0,0,0,,,,,,,,4,3,5,3,1,4,2,3,3,3,1,2,2,57,4,3,,,1,8,10,8,5,8,3,1,1,,,,
3,5,6,3,1,5,6,2,0,4,3,3,5,2 4,4,16,3,,1 3,,0,,,,,,3,1,3,1,4,2 3,1,1,4,1 2,1,4,22,3,1,2,5,10,0,0,,0,,,,,,,1,0,,1,3 4 8 97,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,5,0,,,0,0,0,0,0,0,,,,,,,,5,5,,2,2,2,2,4,3,2,4,4,2,28,7,2,1 4,2 5,3,5,6,3,4,3,1,0,,,,,
2,2,8,2,1,5,0,,,5,5,5,3,2 4,4,25,3,,1 2 3,,1,4,1,2 3 4,,,2,1,4,0,,,1,1,4,3,4,4,21,2,0,,,,0,0,,0,,,,,,,6,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,5,5,,5,5,5,5,5,5,5,5,5,1,38,8,2,4,5,2,2,8,2,2,2,1,0,,,,,
5,6,10,6,2,4,0,,,5,5,5,5,8,,12,3,,1,,0,,,,,,5,2,2,0,,,0,,,,5,5,20,0,0,,,,0,0,,0,,,,,,,1,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,,3,1,4,2,4,4,4,2,3,2,12,3,3,,,5,6,10,6,4,5,4,0,,,,,
2,5,10,5,1,5,0,,,5,5,5,5,2,,65,1,1,,1,0,1,1,1 2,0,3,5,2,1,0,,,0,,,,5,4,7,22,0,,,,0,0,,0,,,,,,,1,0,,0,,,,,,,,,,5,5,0,,1,1,15,0,1,1 3,3,0,,,,,,,0,,,,,,,0,,,,,,,8,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,1,4,1,3,4,4,2,4,1,17,2,3,,,2,5,10,5,4,5,4,0,,,,,
5,5,8,5,0,5,40,97,0,5,5,5,1,4 8,8,100,3,,3,,0,,,,,,5,1,1,0,,,0,,,,4,4,6,20,0,,,,1,0,,0,,,,,,,7,0,,1,4,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,5,5,2,4,4,4,4,4,2,56,7,2,4,1 2 5,5,5,8,5,4,5,1,0,,,,,
2,5,10,5,1,4,5,1,2,5,3,5,5,4,,12,3,,1,,0,,,,,,5,2,1,1,4,1 2 3,0,,,,4,4,7,2,0,,,,0,1,2,0,,,,,0,,8,0,,0,,0,,,,,,,0,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,3,3,1,4,2,4,3,3,2,2,2,12,2,3,,,2,5,10,5,4,5,4,0,,,,,
3,6,7,3,1,5,1,2,1,5,5,4,1,2 4,4,30,1,3,,1,0,97,1,2,2,3,3,2,1,1,3,1 3 4,1,1,5,1 2 3,4,5,3,20,0,,,,0,1,,0,,,,,0,,1,0,,1,3 4 8,0,,,,,,,5,5,5,5,2,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,1,0,,,0,0,0,0,0,0,,,,,,,,2,2,2,4,4,5,2,2,2,4,1,4,2,55,8,2,1 2 4,2 5,3,6,7,3,4,3,1,0,,,,,
3,3,7,4,1,5,0,,,5,1,5,5,4,,29,3,,1,,0,,,,,,3,1,2,0,,,1,2,4,3,5,5,6,7,1,3,6,8,0,1,2,0,,,,,1,,2,0,,0,,0,,,,,,,0,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,8,0,,,0,0,,,0,,,,,,,,,4,4,4,4,2,4,4,2,2,2,1,4,2,19,5,3,,,3,3,7,4,5,3,5,0,,,,,
2,5,10,3,1,5,3,1,0,5,4,5,5,2,,16,1,3,,1,0,1,1,2 4,0,3,5,1,2,0,,,0,,,,5,4,7,6,0,,,,0,1,2,1,13,5,2 5,1,0,1,8,0,,0,,0,,,,,,,0,5,5,0,,1,1,15,0,1,3,,1,1,15,0,1,1 3,3,1,1,15,0,1,3,,0,,,,,,,9,0,,,0,0,0,0,0,0,,,,,,,,4,4,4,3,2,2,2,2,3,3,1,3,2,16,2,3,,,2,5,10,3,5,5,5,1,1,,,,
2,7,10,2,1,5,3,1,0,5,3,5,5,4,,69,3,,97,,0,,,,,,5,1,1,1,4,1 3,0,,,,5,5,7,6,0,,,,0,1,2,1,13,5,5,1,0,1,1,0,,0,,0,,,,,,,0,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,2,2,3,4,1,5,2,3,5,4,2,4,2,69,7,2,2,1 2 5,2,7,10,2,4,5,5,1,1,,,,
3,6,5,9,1,4,20,2,1,4,3,5,1,2 7 8,2,100,1,3,,1,0,4,1,2 3,2,2,5,2,1,1,4,1 2 3 97,1,1,4,1 4,5,4,21,22,0,,,,1,0,,0,,,,,,,0,0,,1,3 97,,,,,,,,,4,2,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,1,0,,,0,0,0,0,0,0,,,,,,,,5,4,,3,5,4,4,4,5,5,5,5,1,21,6,1,2,2 5,3,6,5,9,3,5,1,0,,,,,
1,1,9,2,1,4,0,,,5,5,5,5,2,,100,1,3,,1,0,97,0,,0,3,1,1,2,0,,,0,,,,5,5,21,4,0,,,,0,0,,0,,,,,,,7,0,,1,3 4 5,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,4,4,4,4,4,4,4,4,2,29,9,3,,,1,1,9,2,5,1,1,0,,,,,
1,1,10,1,1,5,2,1,2,1,2,1,5,2 4,2,80,1,3,,1,0,1,1,1 2,0,3,1,1,2,0,,,1,1,1,1 2 4 6,4,4,21,7,0,,,,1,0,,0,,,,,,,1,0,,0,,,,,,,,,,5,5,0,,1,1,13,0,1,1,,1,1,13,0,1,1,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,1,4,,2,1,2,2,4,4,4,1,2,1,69,4,2,2,97,1,1,10,1,3,1,3,0,,,,,
5,7,10,4,1,5,0,,,5,2,5,5,4,,22,3,,2,,1,0,1,1 2,,,4,1,1,0,,,1,1,4,2 3 8,5,5,6,7,0,,,,0,1,2,0,,,,,0,,1,0,,0,,0,,,,,,,0,5,5,0,,1,1,7,0,1,97,,1,1,15,0,1,2,,1,1,12,0,1,2,,0,,,,,,,9,0,,,0,0,0,0,0,0,,,,,,,,4,4,3,4,1,1,2,4,4,4,1,3,1,22,3,4,,,5,7,10,4,5,4,5,0,,,,,
1,5,7,4,0,5,10,1,2,5,5,5,5,2 4,4,40,3,,1 3,1,0,4,1,2 5,0,1,5,2,2,0,,,1,1,4,3 9 10,4,4,20,11,0,,,,0,0,,0,,,,,,,8,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,8,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,4,5,4,4,4,5,2,2,1,61,7,2,1 2 4,1 2 5,1,5,7,4,4,5,1,0,,,,,
3,3,10,3,1,4,3,1,2,5,4,5,5,4,,14,3,,1,,0,,,,,,3,1,2,0,,,0,,,,5,4,7,22,0,,,,0,0,,0,,,,,,,1,0,,0,,,,,,,,,,5,5,0,,1,1,15,0,1,2,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,5,5,,3,1,4,2,4,4,4,3,4,2,14,2,3,,,3,3,10,3,4,3,4,0,,,,,
3,3,8,3,0,5,8,1,2,5,5,5,5,2 4,4,15,3,,3,1,0,4,1,2,0,3,3,1,1,0,,,1,1,3,1 2 4,,5,4,20,0,,,,0,0,,0,,,,,,,6,0,,1,3 4,,,,,,,,,5,5,1,3,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,4,4,1,4,4,4,2,2,1,28,7,3,,,3,3,8,3,4,3,1,0,,,,,
3,6,6,6,2,5,30,1,3,5,3,5,3,2,,50,1,3,,2,1,4,1,2 3 4,2,4,6,1,2,0,,,1,1,5,3 4,5,4,22,20,0,,,,0,0,,0,,,,,,,7,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,5,0,,,0,0,0,0,0,0,,,,,,,,4,5,,4,4,4,2,4,4,5,2,4,2,26,8,2,4,2 5,3,6,6,6,4,6,1,0,,,,,
3,7,10,3,1,4,5,1,2,5,5,5,5,4,,26,3,,1,,0,,,,,,5,1,2,0,,,0,,,,5,4,6,7,0,,,,0,1,2,1,13,5,1,1,97,1,8,0,,1,8,0,,,,,,,0,5,5,0,,1,1,15,0,1,1 3,3,1,1,9,0,1,3,,1,1,15,0,1,3,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,3,3,2,3,2,4,4,2,5,4,1,3,2,26,3,2,13,5,3,7,10,3,5,5,4,1,1,,,,
5,5,10,5,1,4,3,1,0,5,4,5,5,4,,27,3,,1,,0,,,,,,5,1,2,0,,,0,,,,5,3,20,22,0,,,,0,0,,0,,,,,,,1,0,,0,,,,,,,,,,5,5,0,,1,0,,0,1,1,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,3,,2,2,3,3,3,4,2,1,4,2,27,3,2,1,2,5,5,10,5,4,5,3,0,,,,,
